Round,Client,Class,Layer,IoU
round_9,client_2,0 - zero,conv3,0.5455
round_9,client_2,1 - one,conv1,1.0000
round_9,client_2,1 - one,conv2,0.7500
round_9,client_2,1 - one,conv3,0.7778
round_9,client_2,3 - three,conv1,1.0000
round_9,client_2,3 - three,conv2,1.0000
round_9,client_2,3 - three,conv3,0.8333
round_9,client_3,0 - zero,conv1,1.0000
round_9,client_3,0 - zero,conv2,0.6667
round_9,client_3,0 - zero,conv3,1.0000
round_9,client_3,1 - one,conv1,1.0000
round_9,client_3,1 - one,conv2,0.8000
round_9,client_3,1 - one,conv3,0.8889
round_9,client_3,3 - three,conv1,1.0000
round_9,client_3,3 - three,conv2,1.0000
round_9,client_3,3 - three,conv3,0.7273
round_9,client_4,0 - zero,conv1,1.0000
round_9,client_4,0 - zero,conv2,1.0000
round_9,client_4,0 - zero,conv3,0.7000
round_9,client_4,1 - one,conv1,1.0000
round_9,client_4,1 - one,conv2,1.0000
round_9,client_4,1 - one,conv3,0.8000
round_9,client_4,3 - three,conv1,1.0000
round_9,client_4,3 - three,conv2,1.0000
round_9,client_4,3 - three,conv3,0.9000
