Transition,Round_Index,Client,Class,Layer,IoU
round_7->round_8,7,client_0,0 - zero,conv1,1.000000
round_7->round_8,7,client_0,0 - zero,conv2,0.666667
round_7->round_8,7,client_0,0 - zero,conv3,0.555556
round_7->round_8,7,client_0,1 - one,conv1,1.000000
round_7->round_8,7,client_0,1 - one,conv2,0.750000
round_7->round_8,7,client_0,1 - one,conv3,0.900000
round_7->round_8,7,client_0,3 - three,conv1,1.000000
round_7->round_8,7,client_0,3 - three,conv2,1.000000
round_7->round_8,7,client_0,3 - three,conv3,0.800000
round_7->round_8,7,client_1,0 - zero,conv1,1.000000
round_7->round_8,7,client_1,0 - zero,conv2,0.666667
round_7->round_8,7,client_1,0 - zero,conv3,0.857143
round_7->round_8,7,client_1,1 - one,conv1,1.000000
round_7->round_8,7,client_1,1 - one,conv2,0.750000
round_7->round_8,7,client_1,1 - one,conv3,0.900000
round_7->round_8,7,client_1,3 - three,conv1,1.000000
round_7->round_8,7,client_1,3 - three,conv2,1.000000
round_7->round_8,7,client_1,3 - three,conv3,0.750000
round_7->round_8,7,client_2,0 - zero,conv1,1.000000
round_7->round_8,7,client_2,0 - zero,conv2,1.000000
round_7->round_8,7,client_2,0 - zero,conv3,0.875000
round_7->round_8,7,client_2,1 - one,conv1,1.000000
round_7->round_8,7,client_2,1 - one,conv2,0.750000
round_7->round_8,7,client_2,1 - one,conv3,0.900000
round_7->round_8,7,client_2,3 - three,conv1,1.000000
round_7->round_8,7,client_2,3 - three,conv2,1.000000
round_7->round_8,7,client_2,3 - three,conv3,0.857143
round_7->round_8,7,client_3,0 - zero,conv1,1.000000
round_7->round_8,7,client_3,0 - zero,conv2,1.000000
round_7->round_8,7,client_3,0 - zero,conv3,0.833333
round_7->round_8,7,client_3,1 - one,conv1,1.000000
round_7->round_8,7,client_3,1 - one,conv2,0.750000
round_7->round_8,7,client_3,1 - one,conv3,0.800000
round_7->round_8,7,client_3,3 - three,conv1,1.000000
round_7->round_8,7,client_3,3 - three,conv2,1.000000
round_7->round_8,7,client_3,3 - three,conv3,0.900000
round_7->round_8,7,client_4,0 - zero,conv1,1.000000
round_7->round_8,7,client_4,0 - zero,conv2,0.666667
round_7->round_8,7,client_4,0 - zero,conv3,0.750000
round_7->round_8,7,client_4,1 - one,conv1,1.000000
round_7->round_8,7,client_4,1 - one,conv2,1.000000
round_7->round_8,7,client_4,1 - one,conv3,0.900000
round_7->round_8,7,client_4,3 - three,conv1,1.000000
round_7->round_8,7,client_4,3 - three,conv2,1.000000
round_7->round_8,7,client_4,3 - three,conv3,0.916667
round_8->round_9,8,client_0,0 - zero,conv1,1.000000
round_8->round_9,8,client_0,0 - zero,conv2,1.000000
round_8->round_9,8,client_0,0 - zero,conv3,0.833333
round_8->round_9,8,client_0,1 - one,conv1,1.000000
round_8->round_9,8,client_0,1 - one,conv2,1.000000
round_8->round_9,8,client_0,1 - one,conv3,1.000000
round_8->round_9,8,client_0,3 - three,conv1,1.000000
round_8->round_9,8,client_0,3 - three,conv2,1.000000
round_8->round_9,8,client_0,3 - three,conv3,0.600000
round_8->round_9,8,client_1,0 - zero,conv1,1.000000
round_8->round_9,8,client_1,0 - zero,conv2,1.000000
round_8->round_9,8,client_1,0 - zero,conv3,0.666667
round_8->round_9,8,client_1,1 - one,conv1,1.000000
round_8->round_9,8,client_1,1 - one,conv2,1.000000
round_8->round_9,8,client_1,1 - one,conv3,0.888889
round_8->round_9,8,client_1,3 - three,conv1,1.000000
round_8->round_9,8,client_1,3 - three,conv2,1.000000
round_8->round_9,8,client_1,3 - three,conv3,0.750000
round_8->round_9,8,client_2,0 - zero,conv1,1.000000
round_8->round_9,8,client_2,0 - zero,conv2,0.666667
round_8->round_9,8,client_2,0 - zero,conv3,0.625000
round_8->round_9,8,client_2,1 - one,conv1,1.000000
round_8->round_9,8,client_2,1 - one,conv2,0.750000
round_8->round_9,8,client_2,1 - one,conv3,0.888889
round_8->round_9,8,client_2,3 - three,conv1,1.000000
round_8->round_9,8,client_2,3 - three,conv2,1.000000
round_8->round_9,8,client_2,3 - three,conv3,0.833333
round_8->round_9,8,client_3,0 - zero,conv1,1.000000
round_8->round_9,8,client_3,0 - zero,conv2,0.666667
round_8->round_9,8,client_3,0 - zero,conv3,0.833333
round_8->round_9,8,client_3,1 - one,conv1,1.000000
round_8->round_9,8,client_3,1 - one,conv2,1.000000
round_8->round_9,8,client_3,1 - one,conv3,0.888889
round_8->round_9,8,client_3,3 - three,conv1,1.000000
round_8->round_9,8,client_3,3 - three,conv2,1.000000
round_8->round_9,8,client_3,3 - three,conv3,1.000000
round_8->round_9,8,client_4,0 - zero,conv1,1.000000
round_8->round_9,8,client_4,0 - zero,conv2,1.000000
round_8->round_9,8,client_4,0 - zero,conv3,0.666667
round_8->round_9,8,client_4,1 - one,conv1,1.000000
round_8->round_9,8,client_4,1 - one,conv2,1.000000
round_8->round_9,8,client_4,1 - one,conv3,1.000000
round_8->round_9,8,client_4,3 - three,conv1,1.000000
round_8->round_9,8,client_4,3 - three,conv2,1.000000
round_8->round_9,8,client_4,3 - three,conv3,0.818182
round_9->round_10,9,client_0,0 - zero,conv1,1.000000
round_9->round_10,9,client_0,0 - zero,conv2,1.000000
round_9->round_10,9,client_0,0 - zero,conv3,0.750000
round_9->round_10,9,client_0,1 - one,conv1,1.000000
round_9->round_10,9,client_0,1 - one,conv2,1.000000
round_9->round_10,9,client_0,1 - one,conv3,0.777778
round_9->round_10,9,client_0,3 - three,conv1,1.000000
round_9->round_10,9,client_0,3 - three,conv2,0.750000
round_9->round_10,9,client_0,3 - three,conv3,0.900000
round_9->round_10,9,client_1,0 - zero,conv1,1.000000
round_9->round_10,9,client_1,0 - zero,conv2,1.000000
round_9->round_10,9,client_1,0 - zero,conv3,0.750000
round_9->round_10,9,client_1,1 - one,conv1,1.000000
round_9->round_10,9,client_1,1 - one,conv2,1.000000
round_9->round_10,9,client_1,1 - one,conv3,0.777778
round_9->round_10,9,client_1,3 - three,conv1,1.000000
round_9->round_10,9,client_1,3 - three,conv2,0.500000
round_9->round_10,9,client_1,3 - three,conv3,0.692308
round_9->round_10,9,client_2,0 - zero,conv1,1.000000
